ID;[M-H]-;[(M-H)+Na+Cl]-;[M+CH2CN]-;[M+Cl]-;[(M-2H)+Na]-;[M+OH]-;[(M-H)-H2O]-;[(M-H)-2H2O]-;[(M-H)-CO2]-;[(M-H)-HPO3]-;[(M-H)-SO3]-;[M+HCO3]-
S0121;217.0982;275.0569;258.1248;253.0749;239.0802;235.1088;199.0877;181.0771;173.1084;137.1319;137.1414;279.0986
S0275;259.0224;316.9811;300.049;294.9991;281.0044;277.033;241.0119;223.0013;215.0326;179.0561;179.0656;321.0228
S0178;306.0496;364.0083;347.0762;342.0263;328.0316;324.0602;288.0391;270.0285;262.0598;226.0833;226.0928;368.0501
S0034;346.0558;404.0144;387.0824;382.0325;368.0378;364.0664;328.0452;310.0347;302.066;266.0895;266.099;408.0562
S0262;565.0477;623.0064;606.0743;601.0244;587.0297;583.0583;547.0372;529.0266;521.0579;485.0814;485.0909;627.0481
S0310;88.988;146.9467;130.0146;124.9647;110.97;106.9986;70.9775;52.9669;44.9982;9.0217;9.0312;150.9884
S0074;116.0353;173.9939;157.0619;152.012;138.0173;134.0459;98.0248;80.0142;72.0455;36.069;36.0785;178.0357
S0144;130.0509;188.0096;171.0775;166.0276;152.0329;148.0615;112.0404;94.0298;86.0611;50.0846;50.0942;192.0514
S0033;145.0142;202.9729;186.0408;180.9909;166.9962;163.0248;127.0037;108.9931;101.0244;65.0479;65.0574;207.0146
S0045;155.0098;212.9685;196.0364;190.9865;176.9918;173.0204;136.9993;118.9887;111.02;75.0435;75.053;217.0102
S0133;167.035;224.9936;208.0615;203.0117;189.0169;185.0455;149.0244;131.0139;123.0452;87.0687;87.0782;229.0354
S0004;181.0717;239.0304;222.0983;217.0484;203.0537;199.0823;163.0612;145.0506;137.0819;101.1054;101.1149;243.0722
S0162;220.0826;278.0413;261.1092;256.0593;242.0646;238.0932;202.0721;184.0615;176.0928;140.1163;140.1258;282.0831
S0069;259.0224;316.9811;300.049;294.9991;281.0044;277.033;241.0119;223.0013;215.0326;179.0561;179.0656;321.0228
S0119;306.0765;364.0352;347.1031;342.0532;328.0585;324.0871;288.066;270.0554;262.0867;226.1102;226.1197;368.0769
S0091;347.0398;404.9984;388.0664;383.0165;369.0218;365.0504;329.0293;311.0187;303.05;267.0735;267.083;409.0402
